PPN	Signatur	Notizen	Auflagen
1610963466	VB 4092 Z66		
1608958965	 		
1608675548	VG 1000 R248 (11)		11. Aufl.
1606093061	WB 1410 R715		
1547443774	 		
1473658047	 		
142026303X	VN 6050 D184 (2)	GA	2., completely rev. and enl. ed.
1419649221	VK 5000 O68	GA	
1408436450	 		
1190958333	VB 4073 I61	GA	Realschule Baden-Württemberg
1184923558	VB 4073 H595 B1	GA	Baden-Württemberg
118245979X	 		
1162006528	 		
1158908229	VB 4092 H595 (2)		2., neubearb. Aufl.
1158907419	VB 4092 H595 O6 (2)		2., neubearb. Aufl.
1158378815	VB 4092 K63 -1(3)		3., unveränd. Aufl.
1155481364	VB 4072 U61 -2(N)		1. Aufl.
1155481186	VB 4072 U61 (N)	GA	[Überregionale Ausgabe], Neubearb.
1153045214	 		
1151478261	WB 1410 F194 -2		
32491010X	 		1. Aufl.
32379744X	VN 6020 S393		
31962661X	VB 4063 H112		1. Aufl.
319370836	VG 8901 B391		1. Aufl.
317571125	VC 5000 W681		
312069073	VK 5010 B928		
308316533	 		
1603479449	 		Als Ms. gedr.
115331875X	 		[Neubearb.]
1153090155	 		
1152324314	 		
1151380946	WB 1410 F194 -1		
1150534931	VB 2300 S927 -1		1. Aufl., 1. Dr.
1149154128	 		
1148910522	 		
114827300X	VC 1000 R715 C5 -6(10)		10., völlig überarb. Aufl.
1148090878	 		1. Aufl.
1148069615	 		1. Aufl.
1147719888	 		
1145271340	VC 1000 B283 -3		
1141200910	VC 1000 B283 -2		
1140793950	VC 1000 R715 C5 -5(10)		10., völlig überarb. Aufl.
305729861	 		1. Dr.
302207651	 		2., überarb. und erg. Aufl.
300693729	VN 8903 R715 (2)		2., völlig überarb. Aufl.
293272069	VH 5000 B612		
270636498	 		
27024316X	 		
269625321	VC 5010 B599		Orig.-Ausg.
269469753	VB 3222 B864		
267503636	 		
267502532	 		6., veränd. Aufl.
265862124	 		1. Aufl. (dieser Ausg.), für die Beck'sche Reihe neu überarb.
254468241	 		
25025686X	WD 4010 M621		
1630387428	 		
1621744876	VK 5030 F884 (4)		4., durchges. und erw. Aufl.
1620046857	VN 9360 R937 (3)		3., völlig überarb. Aufl.
1148032657	 		
1145815375	 		2. erw. Aufl.
1141871521	 		
1141796732	VB 4063 K83 -1		1. Aufl.
1140141910	 		
1139806572	VC 1000 B283 -1		
1139683993	VC 5010 A749 -2(2)		2., überarb. Aufl.
1138332038	VC 5010 A749 -1(3)		3., überarb. Aufl.
1136622748	VC 1000 R715 C5 -4(10)		10., völlig überarb. Aufl.
1136187324	VC 1000 B283	GA	
1134826273	 		1. Aufl.
30326134X	 		1. Aufl.
293287600	VC 5010 A749 V5		
280225768	 		
28008708X	 		2. Aufl., (1. dt. Aufl.)
249286645	 		
247628220	VH 9600 G124		1. Aufl.
247523186	VC 5000 A874 (2)		2., korrigierte Aufl
246914122	VC 5000 H374 (2)		2., durchges. Aufl.
246393513	VB 3180 S876		
24385160X	 		
243282818	 		1. Aufl.
243282508	VN 8100 K82		1. Aufl.
241792029	VB 4053 R718		
239474481	VB 2300 S414		Orig.-Ausg.
239020626	VB 2300 M244		1. Aufl
237329360	 		
236027050	VG 6100 H313		
23590080X	VN 6050 T866		
1133479235	 		
1133402917	 		
1132337860	VC 1000 R715 C5 -3(10)		10., völlig überarb. Aufl.
1132011329	 		
1132010888	 		
1130935876	 		
1130652076	 		
1129133338	VC 1000 R715 C5 -2(10)		10., völlig überarb. Aufl.
112508328X	VB 4072 V566 L -2(N)		
279603150	 		2., erw. Aufl.
236024418	VN 8400 S412		
234488549	 		
233987959	 		
233982124	VH 5000 A874		
233675183	VN 9360 W923		
232108099	VB 2300 B864		
232104182	WD 5900 B589		Orig.-Ausg.
230969798	VE 5010 W393 (4)		4., völlig überarb. und erw. Aufl.
230549012	 		
230298125	VH 5010 S561 (2)		2. Aufl.
22794139X	VE 5650 P943		
226332489	VE 8001 T561		
226254526	VC 5010 C554		1. Aufl.
216563879	VE 9301 S636		
1606440438	 		
1603430849	VC 5000 T866		
1129233375	VB 4072 E38 L -1		1. Aufl.
1127953451	 		
1127846302	VB 4073 R288 L -8		1. Aufl., 1. Dr.
1127846124	VB 4073 G997 L -3		1. Aufl, 1. dr.
1127298682	 		
1127202243	VB 4092 K63 -3(2)		2., verb. Aufl.
1126868981	VB 4092 K63 -6		
1126046248	 		
1125482443	VB 4072 E38 -1		1. Aufl.
1125345772	VB 4073 F944 L1		
1125141980	 		
1125032014	VC 1000 R715 C5 -1(10)		10., völlig überarb. Aufl.
1124982302	VB 4072 V566 L -1(N)		
1124530711	 		1. Aufl.
112422470X	 		
1123312516	 		
1122004494	VB 4073 H595 A8 L -2(N)		
1121169155	VH 5010 L364 (7)		7., vollst. überarb. Aufl.
1120989248	VB 4073 G997 -3		1. Aufl.
1120388686	VE 5000 A874 (2)		2. Aufl.
279055862	VC 5000 A874		
279032536	WD 4010 S928 (4)		4. Aufl.
278815847	VB 4092 S697		1. Aufl
231231970	 		1. Aufl.
22898145X	VK 5010 K21 (10)		10., vollständig neu überarb. u. erw. Aufl.
223641944	 		2., korr. Aufl., unveränd. Nachdr
223431699	 		1. Aufl.
221324712	VB 2000 W412		
214632415	VB 2100 P974		
212479695	VB 4073 D566		1. Aufl., 1. Dr.
198252935	VH 5000 K21 (13)		13., vollst. neu überarb. und erw. Aufl., 181. - 190. Tsd.
19595615X	 		
192790455	VK 6000 S983 W6		
191561002	 		
19129778X	VH 5010 N843		
090061861	 		
1604592087	IV 31880 P445 (3)		Ungek. Ausg., 3. Aufl.
1123195579	VB 4073 G997 L -2		1. Aufl., 1. Dr. 1995..
1120201659	VK 5010 F793 -1		
1119901839	 		
1119735750	VB 4073 R288 -9/10		1. Aufl., 1. Dr.
1119734908	VB 4073 R288 -8		1. Aufl., 1. Dr.
1119626943	VB 4073 F944 L		
1119295319	VB 4073 H595 A8 L -1(N)		
111899888X	 		2. verb. Aufl
1118919033	VC 1000 R715 -6(9)		9., erw. und neubearb. Aufl.
1118918681	VC 1000 R715 -5(9)		9., erw. und neubearb. Aufl., Paperback-Ausg.
1118918495	VC 1000 R715 -4(9)		9., erw. und neubearb. Aufl., Paperback-Ausg.
1118918274	VC 1000 R715 -3(9)		9., erw. und neubearb. Aufl., Paperback-Ausg.
1118917421	VC 1000 R715 -2(9)		9., erw. und neubearb. Aufl., Paperback-Ausg.
1118916441	VC 1000 R715 -1(9)		9., erw. und neubearb. Aufl., Paperback-Ausg.
1118862813	VB 4072 V566 -2(N)		
1118488644	VB 4073 C517 -9		1. Aufl., 1. Dr.
1117419789	VC 5000 M689 -1		
1116677598	VB 4073 G997 L -1		1. Aufl., 1. [Dr.].
1116625733	VH 5010 C554 -2		1. Aufl.
1115968556	VB 4073 G997 -2		1. Aufl.
1115731599	VB 4073 C517 -10		1. Aufl.
1115731289	VB 4073 C517 L -7		1. Aufl.
1114118818	VC 5010 A749 -2		
278445012	VK 5010 C273		
278294871	VC 5000 S415		
278140033	VC 5100 B542		
232684979	 		2., korrigierte und verb. Aufl., unveränd. Nachdr.
190869593	VH 5200 S384		1. Aufl.
187029741	VH 5010 H737 (101)		101., verb. und stark erw. Aufl.
186873530	VH 5100 J33 (14)		14., neu bearb. Aufl.
183999789	 		
183700252	VB 4150 B458		
183381513	VB 4150 H713 (2)		2. Aufl., Stand: 20.11.1994
181510707	 		3., überarb. Aufl
181118327	 		
180325159	 		3. Aufl., Stand der abgedr. Normen: Oktober 1994
171751132	VC 5010 B111		
1625958609	WD 4010 L523 (2)		2. Aufl.
1618850555	WD 4010 K18 (14)		14., neubearb. Aufl.
1616052996	VH 5030 L717		Dt. Ausg. der Empfehlungen 1990
1118178556	VB 4073 F944 Z		
1115968335	VB 4073 G997 -1		1. Aufl.
1115731076	VB 4073 C517 L -8		1. Aufl.
1115587110	VB 4073 H595 -1		
1115015982	VB 4072 V566 -1(N)		
1114927341	 		
1113398361	 		
1112914870	 		
1112543449	VB 4073 C517 -8		1. Aufl.
1112542833	VB 4073 C517 -7		1. Aufl.
1111772606	 		4. verb. Aufl.
1111772525	 		4. verb. Aufl.
1111327777	VB 4092 K63 -5		
1110802722	VC 5010 A749 -1(2)		2., überarb. Aufl.
1110533330	VK 5010 C554 -3		1. Aufl.
1109922108	 		1. Aufl.
1109921942	 		1. Aufl.
1107431115	VH 5010 C554 -1		1. Aufl
357319095	WD 4010 D722 (4)		4., vollst. überarb. Aufl.
16503498X	 		
16402185X	VC 5020 H137		1. Aufl., unveränd. Nachdr.
163903786	 		
155353519	 		1. Aufl.
15387919X	VN 9360 H888 (6)		6., erw. und aktualisierte Aufl.
153654341	 		
148081584	 		2., aktualisierte und erw. Aufl.
132798654	 		Originalausg.
1610996291	VB 4072 L827		1. Aufl., 2. Dr.
1106620569	VB 4073 B648 -Z		
1106620496	VB 4073 B648	an die Stufe 2: bitte die GA in aDIS gearbeiten, danke	
1106280415	VB 4072 E38 -2		1. Aufl., 5. [Dr.] - 1993.
1106131207	 		
1106130022	 		
1106129369	 		
1105144216	WB 1410 L679 -Z		
1104983737	 		
1104015900	 		2., verb. u. erg. Aufl.
110401579X	 		3., verb. u. erg. Aufl.
1103080776	 		
1103061577	VH 5100 K81 -2(13)		13., völlig neu bearb. Aufl.
